Mode,UACE Code,UZA Name,State, Population ,Density, Square Miles ,State NTD ID,Agency Name,Reporting Module
CB,18,Indiana Non0UZA,Indiana,2718298,0,0,,"Opportunity Enterprises, Inc.",Urban
CB,18,Indiana Non0UZA,Indiana,2718298,0,0,,City of Kokomo,Urban
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,,City of Kokomo,Urban
FB,18,Indiana Non0UZA,Indiana,2718298,0,0,,"Porter County Aging and Community Services, Inc.",Urban
FB,18,Indiana Non0UZA,Indiana,2718298,0,0,,City of Valparaiso,Urban
FB,18,Indiana Non0UZA,Indiana,2718298,0,0,,City of Valparaiso,Urban
VP,18,Indiana Non0UZA,Indiana,2718298,0,0,,Hancock County Senior Services,Urban
VP,18,Indiana Non0UZA,Indiana,2718298,0,0,,Central Indiana Regional Transportation Authority ,Urban
VP,18,Indiana Non0UZA,Indiana,2718298,0,0,,Central Indiana Regional Transportation Authority ,Urban
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,"Boone County Senior Services, Inc.",Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Marshall County Council on Aging ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Steuben County Council on Aging,Rural
CB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,City of Richmond,Rural
VP,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,City of Richmond,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,,Access Johnson County ,Urban
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,,Access Johnson County ,Urban
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Madison County Council of Governments,Rural
CB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Four Rivers Resource Services,Rural
VP,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Four Rivers Resource Services,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Rush County Senior Services ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Cass County Council on Aging ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Cass County Council on Aging ,Rural
CB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Cardinal Services ,Rural
VP,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,City of Washington,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,LaGrange County Council on Aging ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,LifeStream Services ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Area 10 Council on Aging of Monroe County,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Area 10 Council on Aging of Monroe County,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,LifeTime Resources ,Rural
LR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,DeKalb County Council on Aging ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,,Hendricks County Sycamore Services,Urban
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Blue River Services ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Blue River Services ,Rural
LR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,City of Huntingburg,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,City of New Castle,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Huntington County Council on Aging ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Area IV Agency on Aging and Community Action Programs ,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Union County Council on Aging ,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Orange County First Chance Center ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,YMCA of Vincennes ,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Fayette County Senior Center,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Wells County Council on Aging ,Rural
HR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,City of Bedford,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Noble County Council on Aging ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Living Wells in Wabash County Council on Aging ,Rural
CB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,White County Council on Aging ,Rural
RB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Miami County YMCA ,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Whitley County Council on Aging ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Franklin County Senior Services ,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Fulton County Council on Aging ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,City of Marion ,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,City of Marion ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,West Central Indiana Economic Development District ,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Paul Philippe Resource Center ,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,City of Seymour,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Kankakee0Iroquois Regional Planning Commission,Rural
DR,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Shelby Senior Services ,Rural
MB,18,Indiana Non0UZA,Indiana,2718298,0,0,5R02,Brown County YMCA,Rural
DR,19,Iowa Non0UZA,Iowa ,1771195,0,0,,Winnebago Tribe of Nebraska,Tribe
DR,19,Iowa Non0UZA,Iowa ,1771195,0,0,,Winnebago Tribe of Nebraska,Tribe
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,,Des Moines Area Regional Transit Authority,Urban
DR,19,Iowa Non0UZA,Iowa ,1771195,0,0,,Des Moines Area Regional Transit Authority,Urban
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,,Des Moines Area Regional Transit Authority,Urban
DR,19,Iowa Non0UZA,Iowa ,1771195,0,0,,Des Moines Area Regional Transit Authority,Urban
DR,19,Iowa Non0UZA,Iowa ,1771195,0,0,,City of Sioux City,Urban
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,,City of Sioux City,Urban
HR,19,Iowa Non0UZA,Iowa ,1771195,0,0,,"County of Johnson, Iowa",Urban
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,,River Bend Transit,Urban
DR,19,Iowa Non0UZA,Iowa ,1771195,0,0,,River Bend Transit,Urban
DR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Iowa Northland Regional Council of Governments,Rural
CR,19,Iowa Non0UZA,Iowa ,1771195,0,0,,Heart of Iowa Regional Transit Agency,Urban
FB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,City of Marshalltown,Rural
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,City of Muscatine,Rural
CR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,City of Muscatine,Rural
FB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,City of Fort Dodge,Rural
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,City of Fort Dodge,Rural
CR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,City of Burlington,Rural
FB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Siouxland Interstate Metropolitan Planning Council,Rural
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,"Delaware, Dubuque & Jackson County Regional Transit Authority",Rural
CR,19,Iowa Non0UZA,Iowa ,1771195,0,0,,East Central Iowa Council of Governments,Urban
FB,19,Iowa Non0UZA,Iowa ,1771195,0,0,,East Central Iowa Council of Governments,Urban
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,City of Clinton,Rural
CR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,City of Clinton,Rural
FB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,North Iowa Area Council of Governments,Rural
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Northeast Iowa Community Action Corporation,Rural
CR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Southeast Iowa Regional Planning Commission,Rural
FB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Region Six Planning Commission,Rural
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Southern Iowa Trolley,Rural
CR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Region 12 Council of Governments,Rural
FB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Regional Transit Authority,Rural
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,10015 Regional Transit Agency,Rural
CR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,10015 Regional Transit Agency,Rural
DR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Mid Iowa Development Association Council of Governments,Rural
LR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Southwest Iowa Planning Council,Rural
LR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,City of Mason City,Rural
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,,Linn County,Urban
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Jones County,Rural
VP,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Benton County,Rural
YR,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Washington County,Rural
MB,19,Iowa Non0UZA,Iowa ,1771195,0,0,7R01,Iowa County,Rural
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,,"Unified Government of Wyandotte County and Kansas City, KS",Urban
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,,"Unified Government of Wyandotte County and Kansas City, KS",Urban
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,,City of Lawrence,Urban
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,,City of Lawrence,Urban
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,,"Flint Hills Area Transportation Agency, Inc",Urban
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,,"Flint Hills Area Transportation Agency, Inc",Urban
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,,County of Sedgwick,Urban
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,,County of Sedgwick,Urban
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,,City of Derby,Urban
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,,"Butler, County of",Urban
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,"Developmental Services of Northwest Kansas, Inc.",Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,"Developmental Services of Northwest Kansas, Inc.",Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Thomas County,Rural
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Finney County,Rural
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Finney County,Rural
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Morris County,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Southeast Kansas Community Action Program,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Southeast Kansas Community Action Program,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Norton County Senior Citizens,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Rush County,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Lincoln County,Rural
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Rooks County,Rural
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Wakeeney,Rural
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Linn County,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Decatur County,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Jefferson County Service Organization,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Smith Center,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Osage County,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Hoisington,Rural
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Herington,Rural
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Pottawatomie County,Rural
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Great Bend,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Doniphan County,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Tri0Valley Developmental Services,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Sunflower Diversified Services,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Dodge City,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Dodge City,Rural
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Pratt County,Rural
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Chase County,Rural
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,"OCCK, Inc.",Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,"OCCK, Inc.",Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Ottawa County,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,South Central Kansas Area Agency on Aging,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,"Paola Senior Citizen Center, Inc.",Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Ellsworth County,Rural
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Wilson,Rural
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,"Lakemary Center, Inc",Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,South Central Kansas Area Agency on Aging,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,South Central Kansas Area Agency on Aging,Rural
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,South Central Kansas Area Agency on Aging,Rural
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Louisburg,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,South Central Kansas Area agency on Aging,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Twin Rivers Developmental Supports Inc.,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Phillipsburg,Rural
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Republic County,Rural
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Lane County,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Logan County,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,,"Independence, Inc.",Urban
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Anderson County,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,South Central Kansas Area Agency on Aging,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Marshall County,Rural
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Four County,Rural
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,South Central Kansas Area Agency on Aging,Rural
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Nemaha County,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Goodland,Rural
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Wabaunsee County,Rural
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Coffey County,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Franklin County,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Class LTD,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Liberal,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Liberal,Rural
CR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,South Central Kansas Area Agency on Aging,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,South Central Kansas Area Agency on Aging,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Harvey County,Rural
LR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Russell,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Community Senior Service Center,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Lyon County,Rural
VP,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Lyon County,Rural
YR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Clay County Task Force,Rural
FB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,The Guidance Center,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Solomon Valley,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Futures Unlimited,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,City of Kingman,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Project Concern,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Gove County,Rural
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,,Sac and Fox Nation of Missouri,Tribe
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,,Prairie Band Potawatomi Nation,Tribe
MB,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Rawlins County ,Rural
DR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Northeast Kansas Area Agency on Aging,Rural
HR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,Cheyenne County,Rural
HR,20,Kansas Non0UZA,Kansas,1388420,0,0,7R02,"Multi Community Diversified Services, Inc.",Rural
CR,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Lexington Transit Authority,Urban
CR,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Lexington Transit Authority,Urban
DR,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Lexington Transit Authority,Urban
MB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Transit Authority of River City,Urban
VP,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Transit Authority of River City,Urban
MB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Transit Authority of River City,Urban
DR,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Transit Authority of River City,Urban
VP,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,City of Owensboro,Urban
MB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Transit Authority of Central Kentucky,Urban
DR,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Transit Authority of Central Kentucky,Urban
MB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,City of La Grange,Rural
DR,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,"Middle Kentucky River Area Development Council, Inc.",Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,"Rural Transit Enterprises Coordinated, Inc.",Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Bluegrass Community Action Agency,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Bluegrass Community Action Agency,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,"Pennyrile Allied Community Services, Inc.",Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,"Pennyrile Allied Community Services, Inc.",Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Licking Valley CAP,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Gateway Community Services Organization,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,"KY River Foothills Development Council, Inc.",Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,"KY River Foothills Development Council, Inc.",Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Owen County Fiscal Court,Rural
DR,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Sandy Valley Transportation Services,Rural
MB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Paducah Transit Authority,Urban
DR,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,Paducah Transit Authority,Urban
MB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Daniel Boone Development Council,Rural
DR,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,City of Maysville,Rural
MB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Murray0Calloway County Transit Authority,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Murray0Calloway County Transit Authority,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,City of Glasgow,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,"Louisville WHEELS Transportation, Inc",Urban
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Northeast KY Area Development Council,Rural
MB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,"Harlan County Community Action Agency, Inc.",Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,,"Audubon Area Community Services, Inc.",Urban
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,City of Frankfort,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,City of Frankfort,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Central Kentucky Community Action Council,Rural
MB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,"Leslie, Knott, Letcher & Perry Community Action",Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Fulton County Transit Authority,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,Carroll County Wellness Transit,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,City of Scottsville,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,City of Henderson,Rural
CB,21,Kentucky Non0UZA,Kentucky,2626585,0,0,4R04,City of Henderson,Rural
CB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,,St. Tammany Parish Government,Urban
CB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,,River Parishes Transit Authority,Urban
CB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Plaquemines Parish Government,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,,"St Martin, Iberia, Lafayette Community Action Agency",Urban
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Pointe Coupee Parish Government,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Red River Parish Police Jury,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Jefferson Davis Police Jury,Rural
CB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Beauregard Parish City of DeRidder,Rural
CB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Washington Parish Government,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,City of Ville Platte Evangeline Parish,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,East Feliciana Police Jury,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Webster Parish Police Jury,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,St Martin Parish Government,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,,Tangipahoa Voluntary Council on Aging,Urban
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,,Tangipahoa Voluntary Council on Aging,Urban
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Calcasieu Parish Police Jury,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,City of Franklin St. Mary Parish,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Livingston Parish Council,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Assumption Parish Police Jury,Rural
FB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Caldwell Parish Police Jury,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Vermilion Parish Police Jury ,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,City of West Monroe/West Ouachita Parish,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,St. James Parish Government,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Lincoln Parish Police Jury,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,St. Landry Government,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Terrebonne Parish Consolidated Government,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Claiborne Parish Police Jury,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Cameron Parish Police Jury,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Avoyelles Parish Police Jury,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Allen Parish Police Jury,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Bienville Parish Police Jury,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Desoto Parish Police Jury,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Vernon Parish Police Jury,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,,"Plaquemines Port, Harbor and Terminal District",Urban
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Iberville Sheriff's Office,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Madison Parish Policy Jury,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,St. Helena Council on Aging,Rural
DR,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Rapides Parish Police Jury,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,West Feliciana Parish Council,Rural
MB,22,Louisiana Non0UZA,Louisiana,1763723,0,0,6R02,Rapides Area Planning Commission ,Rural
MB,23,Maine Non0UZA,Maine,995851,0,0,,"Regional Transportation Program, Inc.",Urban
MB,23,Maine Non0UZA,Maine,995851,0,0,,Casco Bay Island Transit District,Urban
MB,23,Maine Non0UZA,Maine,995851,0,0,,City of Bangor,Urban
MB,23,Maine Non0UZA,Maine,995851,0,0,,City of Bangor,Urban
DR,23,Maine Non0UZA,Maine,995851,0,0,,"Western Maine Transportation Services, Inc.",Urban
DR,23,Maine Non0UZA,Maine,995851,0,0,,"Western Maine Transportation Services, Inc.",Urban
DR,23,Maine Non0UZA,Maine,995851,0,0,,"Western Maine Transportation Services, Inc.",Urban
DR,23,Maine Non0UZA,Maine,995851,0,0,,York County Community Action Corporation,Urban
MB,23,Maine Non0UZA,Maine,995851,0,0,,Biddeford0Saco0Old Orchard Beach Transit Committee Shuttle Bus,Urban
DR,23,Maine Non0UZA,Maine,995851,0,0,,Northern New England Passenger Rail Authority,Urban
MB,23,Maine Non0UZA,Maine,995851,0,0,,Penquis Community Action Program,Urban
